code,name,series,element,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves,level
oev986,Yesung,Super Junior,void,burn,4,1987,N/A,N/A,0,N/A,false,false,N/A,N/A,44,41,42,243,"Tau, Vis",1
oev7uz,Kenji Makabe,Space Brothers,ice,burn,0,642,N/A,N/A,0,N/A,false,false,N/A,N/A,54,44,50,291,"Vis, Rot",1
oev4lx,Octagirl,Girls x Battle 2,ice,burn,0,1635,N/A,N/A,0,N/A,false,false,N/A,N/A,49,60,55,296,"Rot, Cos",1
o4x89h,Blake Belladonna,RWBY,wood,N/A,56,751,N/A,N/A,0,N/A,false,false,N/A,N/A,79,61,54,232,"Sha, Sou",1
oev29x,Mina Tepes,Dance in the Vampire Bund,light,burn,4,864,N/A,N/A,0,N/A,false,false,N/A,N/A,53,53,55,231,"Tem, Wil",1
oev22h,Hawks,My Hero Academia,wind,mha,219,927,N/A,N/A,0,N/A,false,false,N/A,N/A,49,59,40,258,"Ser, Ato",1
oev0uc,Minthara,Baldur's Gate 3,light,s,17,975,N/A,N/A,0,N/A,false,false,N/A,N/A,49,57,43,281,"Ref, Dra",1
oeuyup,Bocchi Hitori,Hitoribocchi no Marumaru Seikatsu,ice,s,64,573,N/A,N/A,0,N/A,false,false,N/A,N/A,53,80,48,232,"Eth, Tim",1
oeuxdz,Emo Bananya,Bananya and the Curious Bunch,void,burn,10,1423,N/A,N/A,0,N/A,false,false,N/A,N/A,55,47,55,262,"Roc, Spi",1
oeuvt4,Mei Narumiya,Ace of Diamond,wood,burn,3,729,N/A,N/A,0,N/A,false,false,N/A,N/A,57,50,69,255,"Tri, Pur",1
oeuufx,Daniel Hatchid,Tower of God,fire,burn,4,1019,N/A,N/A,0,N/A,false,false,N/A,N/A,52,74,41,287,"Hyp, Sou",1
oeut5e,Daryl Dixon,The Walking Dead,void,s,84,1287,N/A,N/A,0,N/A,false,false,N/A,N/A,58,47,47,307,"For, Nec",1
oeup0j,Scarlet,NIKKE,void,s,30,365,N/A,N/A,0,N/A,false,false,N/A,N/A,56,50,50,266,"Tau, Tem",1
oenp45,Rockstar Cookie,Cookie Run,wind,cookie,7,990,N/A,N/A,0,N/A,false,false,N/A,N/A,55,59,46,268,"Spi, Dru",1
oee7zh,Ginseng Cookie,Cookie Run,fire,cookie,1,520,N/A,N/A,0,N/A,false,false,N/A,N/A,57,40,49,261,"Ven, Vis",1
oeidkt,Fettuccine Cookie,Cookie Run,earth,cookie,4,1378,N/A,N/A,0,N/A,false,false,N/A,N/A,54,51,71,275,"Vor, Roc",1
oeunhq,Loyce Grinberryall,Black Clover,ice,burn,1,1010,N/A,N/A,0,N/A,false,false,N/A,N/A,56,41,43,303,"Har, Ven",1
oeukzz,Uruka Takemoto,We Never Learn: BOKUBEN,fire,N/A,6,643,N/A,N/A,0,N/A,false,false,N/A,N/A,51,40,59,260,"Wil, Vor",1
oeujrw,Tooru Miyamae,Seiren,light,burn,2,1306,N/A,N/A,0,N/A,false,false,N/A,N/A,60,46,65,253,"Tim, Tau",1
oeuihr,Claudia,Granblue Fantasy,wood,burn,0,638,N/A,N/A,0,N/A,false,false,N/A,N/A,67,60,56,250,"Dra, Rol",1
oeuh71,Bolin Hori,RWBY,earth,burn,0,841,N/A,N/A,0,N/A,false,false,N/A,N/A,54,53,45,239,"Hyp, Wil",1
oeufpb,Nemesis,To LOVE Ru,wind,burn,4,1092,N/A,N/A,0,N/A,false,false,N/A,N/A,46,45,50,265,"Eth, Tau",1
oeue47,Claude Clawmark,Nijisanji EN,earth,s,26,858,N/A,N/A,0,N/A,false,false,N/A,N/A,48,48,70,249,"Ven, Spi",1
oeucw6,Koutarou Suwa,World Trigger,earth,burn,1,1805,N/A,N/A,0,N/A,false,false,N/A,N/A,45,47,43,238,"Alm, Dra",1
oeubia,Tomoko,Rewrite,light,burn,0,679,N/A,N/A,0,N/A,false,false,N/A,N/A,65,49,49,236,"Out, Hel",1
oeuaek,Satoko Houjou,Higurashi: When They Cry,void,s,25,1619,N/A,N/A,0,N/A,false,false,N/A,N/A,42,50,41,235,"Spi, Tem",1
oeu903,Corn Pop,Shironeko Project,wood,burn,1,794,N/A,N/A,0,N/A,false,false,N/A,N/A,54,71,56,298,"Bel, Spi",1
oeu7ov,Helga Yttri,The Real Daughter is Back,fire,burn,3,770,N/A,N/A,0,N/A,false,false,N/A,N/A,40,51,59,235,"For, Ven",1
oeu5dy,Maw,My Singing Monsters,ice,low,1,36,N/A,N/A,0,N/A,false,false,N/A,N/A,42,48,49,258,"Out, Ato",1
oeu43g,Kyoichiro Narukami,Samurai Love Ballad: PARTY,earth,burn,0,1590,N/A,N/A,0,N/A,false,false,N/A,N/A,51,58,46,243,"Hyp, Rot",1
oeu2wd,Clover Cookie,Cookie Run,void,cookie,7,1602,N/A,N/A,0,N/A,false,false,N/A,N/A,55,71,53,264,"Vor, Sha",1
oeu1j8,Saburo Yamada,Hypnosis Mic: Division Rap Battle - Rhyme Anima,ice,s,13,1005,N/A,N/A,0,N/A,false,false,N/A,N/A,77,54,49,257,"Hel, Har",1
oetp4a,IA,Vocaloid,metal,s,20,1717,N/A,N/A,0,N/A,false,false,N/A,N/A,42,55,56,242,"Alm, Mys",1
oetnq8,Carsa Kurnoah,The Misfit of Demon King Academy,ice,burn,1,1533,N/A,N/A,0,N/A,false,false,N/A,N/A,59,42,68,265,"Dra, Nec",1
oetmrr,Emperor,I Woke Up as the Ugly Duckling,earth,burn,4,1786,N/A,N/A,0,N/A,false,false,N/A,N/A,49,76,60,260,"Eth, Hel",1
oetljv,Mikan Tsumiki,Danganronpa 2: Goodbye Despair,wood,s,64,1164,N/A,N/A,0,N/A,false,false,N/A,N/A,43,49,83,246,"Out, Spi",1
oetdd9,Hayato Shirase,Ao no Kanata no Four Rhythm,earth,burn,0,790,N/A,N/A,0,N/A,false,false,N/A,N/A,83,53,58,240,"For, Tem",1
oetccw,Lina,The Tyrant's Only Perfumer,fire,burn,0,814,N/A,N/A,0,N/A,false,false,N/A,N/A,58,69,54,250,"Mim, Nec",1
oet8vi,Wood Mobster,Tokyo Afterschool Summoners,ice,burn,0,609,N/A,N/A,0,N/A,false,false,N/A,N/A,59,51,49,235,"Out, Rol",1
oet7kf,Natty,Kiss of Life,fire,s,36,831,N/A,N/A,0,N/A,false,false,N/A,N/A,50,53,55,242,"Sou, Rot",1
oet6g5,Hundreko,Show By Rock!!,wood,burn,0,537,N/A,N/A,0,N/A,false,false,N/A,N/A,45,43,54,270,"Bel, Pur",1
oet4hr,Touko Aozaki,The Garden of Sinners,earth,burn,10,1862,N/A,N/A,0,N/A,false,false,N/A,N/A,50,47,43,276,"Rol, Wil",1
oet37i,Shoichi Irie,Katekyo Hitman Reborn!,void,N/A,0,1834,N/A,N/A,0,N/A,false,false,N/A,N/A,46,40,59,231,"Eth, Pur",1
oeszi0,Heresar,Shironeko Project,fire,burn,0,1891,N/A,N/A,0,N/A,false,false,N/A,N/A,40,56,51,244,"Ref, Ato",1
oesyd4,Mizushima Marika,D4DJ,wood,burn,3,1031,N/A,N/A,0,N/A,false,false,N/A,N/A,46,53,56,282,"Har, Eth",1
oesxcc,Yennefer of Vengerberg,The Witcher 3: Wild Hunt,void,s,35,975,N/A,N/A,0,N/A,false,false,N/A,N/A,51,60,57,276,"Ato, Hol",1
oerdie,Vishra,Brave Frontier,metal,N/A,0,940,N/A,N/A,0,N/A,false,false,N/A,N/A,54,64,54,256,"Ven, Spi",1
oer6uh,Syrene,Fire Emblem: The Sacred Stones,void,burn,0,1515,N/A,N/A,0,N/A,false,false,N/A,N/A,59,59,55,273,"Rol, Wil",1
oer5th,Constable Hu,Kung Fu Panda,light,burn,1,623,N/A,N/A,0,N/A,false,false,N/A,N/A,42,70,49,276,"Ven, Spi",1
oer4s3,Biscuit No. 2,Nichijou - My Ordinary Life,wood,burn,4,1699,N/A,N/A,0,N/A,false,false,N/A,N/A,40,51,47,237,"For, Rot",1
oer151,Sagume Kishin,Touhou,light,burn,5,577,N/A,N/A,0,N/A,false,false,N/A,N/A,56,56,60,251,"Ban, Vor",1
oeqts7,Friedrina,Sid Story,fire,burn,0,705,N/A,N/A,0,N/A,false,false,N/A,N/A,50,43,56,250,"Hyp, Bel",1
oeqros,Yoshikage Kira (JoJolion),JoJo's Bizarre Adventure: JoJolion,ice,burn,7,927,N/A,N/A,0,N/A,false,false,N/A,N/A,52,51,53,277,"For, Dru",1
oeqpyl,Claude,Guardian Tales,earth,burn,1,908,N/A,N/A,0,N/A,false,false,N/A,N/A,55,46,55,296,"Hol, Bli",1
oeqbqg,Jiang Yanli,Mo Dao Zu Shi,wood,s,15,1164,N/A,N/A,0,N/A,false,false,N/A,N/A,51,51,54,242,"For, Vis",1
oeqaho,Shen,Undead Unluck,wind,s,14,1166,N/A,N/A,0,N/A,false,false,N/A,N/A,59,71,53,298,"Alm, Pur",1
oeq90k,Black,Among Us,fire,N/A,19,1375,N/A,N/A,0,N/A,false,false,N/A,N/A,56,51,53,246,"Out, Ref",1
oeq7qk,Nanashi Mumei,Hololive EN,ice,s,236,1782,N/A,N/A,0,N/A,false,false,N/A,N/A,56,58,53,290,"Sou, Ato",1
oeq6eq,Mina,Gugudan,wind,burn,3,1250,N/A,N/A,0,N/A,false,false,N/A,N/A,59,42,45,299,"Rol, Ato",1
oeq4qr,Shia Foschurose,Kuma Kuma Kuma Bear,ice,burn,2,501,N/A,N/A,0,N/A,false,false,N/A,N/A,59,42,52,230,"Ato, Sou",1
o41aad,Daredevil,Marvel Cinematic Universe,metal,N/A,29,1128,N/A,N/A,0,N/A,false,false,N/A,N/A,52,51,45,249,"Ref, Hel",1
oeq34s,Flesselles,Granblue Fantasy,fire,burn,0,600,N/A,N/A,0,N/A,false,false,N/A,N/A,58,54,58,266,"Nec, Ser",1
oepqg7,Steven Universe,Steven Universe,wind,s,90,1041,N/A,N/A,0,N/A,false,false,N/A,N/A,40,43,52,300,"Pur, Dru",1
oepp0g,Kuranosuke Shiraishi,The Prince of Tennis,ice,burn,1,317,N/A,N/A,0,N/A,false,false,N/A,N/A,60,48,47,244,"Out, Vis",1
oeplly,Miho Azuki,Bakuman.,ice,burn,0,614,N/A,N/A,0,N/A,false,false,N/A,N/A,59,46,42,240,"Spi, Ven",1
oephob,Rosen Kranz,SERVAMP,metal,burn,0,563,N/A,N/A,0,N/A,false,false,N/A,N/A,77,41,46,265,"Tri, Eth",1
oepfp1,Yukiteru Amano,The Future Diary,earth,low,14,90,N/A,N/A,0,N/A,false,false,N/A,N/A,53,43,41,230,"Tau, Spi",1
oepec5,Irori,Mushibugyo,ice,burn,0,1948,N/A,N/A,0,N/A,false,false,N/A,N/A,56,44,46,304,"Tem, Eth",1
oepcz1,Yuiko Kurugaya,Little Busters!,fire,low,4,84,N/A,N/A,0,N/A,false,false,N/A,N/A,51,52,48,268,"For, Dru",1
oepbsg,Alyn Crawford,Midnight Cinderella,metal,burn,1,621,N/A,N/A,0,N/A,false,false,N/A,N/A,43,51,44,300,"Bel, Mim",1
oep1g1,Shy Guy,Mario,earth,burn,6,964,N/A,N/A,0,N/A,false,false,N/A,N/A,56,61,55,235,"Dru, Vis",1
oeozzd,Hibari Kusunogi,Black Blood Brothers,fire,burn,0,1464,N/A,N/A,0,N/A,false,false,N/A,N/A,60,47,59,231,"Vor, Tim",1
oeoymi,Imusa,Kuromukuro,wood,burn,0,1594,N/A,N/A,0,N/A,false,false,N/A,N/A,55,55,41,243,"Tri, Vis",1
oeowpy,Haku,Spirited Away,fire,s,81,1322,N/A,N/A,0,N/A,false,false,N/A,N/A,46,46,56,292,"Bod, Spi",1
nr5ong,Emiko,Valiant Force,wood,N/A,2,543,N/A,N/A,0,N/A,false,false,N/A,N/A,46,44,57,247,"Tim, Rot",1
nrv6bh,Pan,PH VTubers,ice,N/A,4,1784,N/A,N/A,0,N/A,false,false,N/A,N/A,53,40,53,242,"Ven, Tau",1
nzjnzb,Daredevil,Marvel Cinematic Universe,metal,N/A,29,1921,N/A,N/A,0,N/A,false,false,N/A,N/A,51,48,56,276,"Wil, Sou",1
o9lfxt,Fumino Furuhashi,We Never Learn: BOKUBEN,fire,N/A,27,1190,N/A,N/A,0,N/A,false,false,N/A,N/A,51,51,52,252,"Sou, Tau",1
o7s9pc,The Keeper,The Evil Within,fire,N/A,3,933,N/A,N/A,0,N/A,false,false,N/A,N/A,49,55,52,249,"Pur, Cos",1
o0au5d,Baguette,Food Fantasy,wind,N/A,7,910,N/A,N/A,0,N/A,false,false,N/A,N/A,46,60,48,271,"Roc, Und",1
ny4ymj,Pan,PH VTubers,earth,N/A,4,1967,N/A,N/A,0,N/A,false,false,N/A,N/A,57,52,55,249,"Dra, Bod",1
oeours,Iruka Sakimiya,Dolphin Wave,wood,burn,0,671,N/A,N/A,0,N/A,false,false,N/A,N/A,46,50,77,249,"Out, Tau",1
oeot7c,Kayden (Cat),Eleceed,earth,s,45,1254,N/A,N/A,0,N/A,false,false,N/A,N/A,58,50,79,234,"Bel, Rol",1
oeorzf,Vlad III,Sid Story,earth,burn,0,1570,N/A,N/A,0,N/A,false,false,N/A,N/A,52,43,55,324,"Tim, For",1
oeoqz9,Seto Kaiba,Yu-Gi-Oh!,light,s,74,821,N/A,N/A,0,N/A,false,false,N/A,N/A,79,61,56,296,"Mys, Wil",1
oeops8,Aouda,Sid Story,ice,burn,0,1998,N/A,N/A,0,N/A,false,false,N/A,N/A,59,78,47,252,"Sou, Ban",1
oeooly,Fei,Miss A,void,burn,0,1591,N/A,N/A,0,N/A,false,false,N/A,N/A,60,41,45,243,"Hol, Bel",1
oeon3r,Heatblast,Ben 10,metal,s,17,1076,N/A,N/A,0,N/A,false,false,N/A,N/A,48,57,42,316,"Ban, Ven",1
oeom0h,Vaike,Fire Emblem Awakening,ice,N/A,2,1230,N/A,N/A,0,N/A,false,false,N/A,N/A,42,69,60,249,"Hyp, Und",1
oeok11,Shaggy Rogers,"Scooby-Doo, Where Are You!",light,s,36,665,N/A,N/A,0,N/A,false,false,N/A,N/A,44,45,56,244,"Rol, Dru",1
oeoh2b,Hakudoushi,InuYasha,earth,burn,0,1917,N/A,N/A,0,N/A,false,false,N/A,N/A,56,75,60,261,"Roc, Hel",1
oeof17,Kim Woojin,Kill The Hero,metal,burn,1,1274,N/A,N/A,0,N/A,false,false,N/A,N/A,58,53,47,261,"Bod, Out",1
oeodz5,Water Mobster,Tokyo Afterschool Summoners,light,burn,0,660,N/A,N/A,0,N/A,false,false,N/A,N/A,48,41,50,284,"Sha, Ato",1
oeocg7,Mio Ibuki,Classroom of the Elite,earth,burn,4,1702,N/A,N/A,0,N/A,false,false,N/A,N/A,58,47,60,244,"Bel, Rol",1
np4nt5,SIG-556,Girls Frontline,light,raid,5,1937,N/A,N/A,0,$e1b6e,false,true,#b20a54,N/A,43,117,113,449,"Spi, Spi, Dra, Bel, Ven, Ref, Cos, Vor",68
ny6svv,Teriria,Chain Chronicle,light,raid,5,639,N/A,N/A,0,$ffly,false,true,#aa0c15,N/A,51,100,118,449,"Mys, Wil, Rot, Ven, Out, Ban, Cos, Vor",70
ho1g,Victoria Song,SOLOIST,light,raid,6,1858,N/A,N/A,0,$ffly,false,true,#aa0c15,N/A,61,101,179,401,"Tim, Pur, Spi, Dru, Bel, Har, Ato, Dra",77
oeo7ny,Aiden Flynn,Camp Buddy,earth,burn,2,608,N/A,N/A,0,N/A,false,false,N/A,N/A,50,60,46,278,"Ven, Sou",1
oeo6ow,Midia,Fire Emblem: Shadow Dragon,void,burn,0,897,N/A,N/A,0,N/A,false,false,N/A,N/A,52,58,42,240,"Spi, Dru",1
oeo4k7,Ako Tamaki,And you thought there is never a girl online?,metal,s,25,794,N/A,N/A,0,N/A,false,false,N/A,N/A,60,51,51,256,"Sou, Tim",1
oeo1hs,Leonardo Burns,Fire Force,metal,burn,4,976,N/A,N/A,0,N/A,false,false,N/A,N/A,47,43,44,249,"Und, Out",1
oenz2b,Momo,IDOLiSH7,fire,burn,11,300,N/A,N/A,0,N/A,false,false,N/A,N/A,44,41,49,260,"Bod, Pur",1
oenvrw,Sora Kasugano,Yosuga no Sora,fire,s,26,739,N/A,N/A,0,N/A,false,false,N/A,N/A,46,60,60,273,"Nec, Rol",1
obmsbt,Rika Kawai,Wonder Egg Priority,fire,low,82,94,N/A,N/A,0,N/A,false,false,N/A,N/A,48,44,41,299,"Tau, Har",1
odtz8n,Miach,Granblue Fantasy,void,low,0,93,N/A,N/A,0,N/A,false,false,N/A,N/A,69,56,60,255,"Spi, Wil",1
o58nti,Freddy Fazbear,Five Nights at Freddy's,earth,low,113,93,N/A,N/A,0,N/A,false,false,N/A,N/A,48,43,54,257,"Ban, Vor",1
o8hsfn,Sakuya Shirase,THE iDOLM@STER Shiny Colors,void,low,63,70,N/A,N/A,0,N/A,false,false,N/A,N/A,53,51,58,271,"Vis, Hol",1
od1t7o,Heimerdinger,Arcane,light,low,6,64,N/A,N/A,0,N/A,false,false,N/A,N/A,60,55,65,278,"Tri, Ban",1
oc0kgd,AUBREY,OMORI,void,low,188,56,N/A,N/A,0,N/A,false,false,N/A,N/A,41,46,43,250,"Tri, Tau",1
odbr94,Regina Babylon,In Another World With My Smartphone,wood,low,0,51,N/A,N/A,0,N/A,false,false,N/A,N/A,50,49,47,231,"Bli, Roc",1
oej5i2,Max,Pokemon People,metal,low,1,48,N/A,N/A,0,N/A,false,false,N/A,N/A,49,52,57,255,"Tri, Hol",1
odj1ak,Suzu Shutou,Riddle Story of Devil,ice,low,0,38,N/A,N/A,0,N/A,false,false,N/A,N/A,45,41,70,259,"Mim, Tau",1
o9l654,Viego,League of Legends,metal,low,49,37,N/A,N/A,0,N/A,false,false,N/A,N/A,46,55,48,241,"Ato, Pur",1
oentos,Ren Amaki,The Rising of the Shield Hero,light,burn,5,927,N/A,N/A,0,N/A,false,false,N/A,N/A,44,51,47,258,"Tim, Vis",1
oensqo,Sumiji Kuroyama,Act-Age,ice,burn,2,755,N/A,N/A,0,N/A,false,false,N/A,N/A,59,80,91,272,"Vor, Cos",1
oenrs7,Shushu Suruga,Chained Soldier,earth,burn,12,585,N/A,N/A,0,N/A,false,false,N/A,N/A,70,59,55,233,"Dra, Und",1
o64rsx,Winry Rockbell,Fullmetal Alchemist,wood,N/A,54,1275,N/A,N/A,0,N/A,false,false,N/A,N/A,54,60,80,250,"Spi, Ven",1
oenqdz,Lucius's Sin,Phantom Paradise,ice,burn,1,893,N/A,N/A,0,N/A,false,false,N/A,N/A,43,57,66,265,"Ato, Rol",1
nqwpn1,The Keeper,The Evil Within,earth,N/A,3,536,N/A,N/A,0,N/A,false,false,N/A,N/A,45,58,62,280,"Ven, Ato",1
o3x8y3,Pan,PH VTubers,light,N/A,4,902,N/A,N/A,0,N/A,false,false,N/A,N/A,49,57,44,266,"Nec, Alm",1
nojimw,Hisako,Angel Beats!,wind,N/A,13,1810,N/A,N/A,0,N/A,false,false,N/A,N/A,49,41,47,260,"Pur, Roc",1
o26xdx,Winry Rockbell,Fullmetal Alchemist,wind,N/A,54,816,N/A,N/A,0,N/A,false,false,N/A,N/A,53,59,49,307,"Rot, Mim",1
a7ik8,Winry Rockbell,Fullmetal Alchemist,earth,N/A,54,316,N/A,N/A,0,N/A,false,false,N/A,N/A,40,47,55,225,"Dru, Bli",1
nxv41b,Winry Rockbell,Fullmetal Alchemist,light,N/A,54,1355,N/A,N/A,0,N/A,false,false,N/A,N/A,58,49,46,274,"Ato, Und",1
od78ew,Pluto,Black Butler,fire,N/A,6,1891,N/A,N/A,0,N/A,false,false,N/A,N/A,58,46,44,286,"Wil, Har",1
oeno52,Kei Takemura,"Say ""I Love You""",wood,burn,3,139,N/A,N/A,0,N/A,false,false,N/A,N/A,44,58,49,320,"Hol, Mim",1
oa77ar,Winry Rockbell,Fullmetal Alchemist,wind,N/A,54,1822,N/A,N/A,0,N/A,false,false,N/A,N/A,44,56,59,271,"Rol, Pur",1
oenjld,Aria Roscente,The Villainess Reverses the Hourglass,wood,s,96,1105,N/A,N/A,0,N/A,false,false,N/A,N/A,58,40,48,265,"Tau, Nec",1
oenib5,Grayfia Lucifuge,High School DxD,earth,s,71,1200,N/A,N/A,0,N/A,false,false,N/A,N/A,41,52,43,294,"Alm, For",1
oemzna,Sir Edward Lampard,World Break: Aria of Curse for a Holy Swordsman,wood,burn,0,354,N/A,N/A,0,N/A,false,false,N/A,N/A,53,55,47,290,"Ban, Eth",1
oemeed,Bloodwing,Borderlands,wood,burn,2,982,N/A,N/A,0,N/A,false,false,N/A,N/A,54,63,42,254,"Hel, For",1
oemdg3,Fei,Miss A,earth,burn,0,1263,N/A,N/A,0,N/A,false,false,N/A,N/A,60,46,47,265,"Sha, Ato",1
oembas,Kyoutarou Ichikawa,The Dangers in My Heart,ice,s,35,927,N/A,N/A,0,N/A,false,false,N/A,N/A,53,51,46,240,"Ato, Mim",1
oem8bp,Hakuno Kishinami (Male),Fate/Extra,ice,burn,1,1795,N/A,N/A,0,N/A,false,false,N/A,N/A,57,65,52,291,"Hol, Bel",1
odwdzy,Pan,PH VTubers,ice,N/A,4,1767,N/A,N/A,0,N/A,false,false,N/A,N/A,54,46,60,297,"Und, Vis",1
oem67w,Daisy Ignacia Y,MAHA5,fire,burn,0,998,N/A,N/A,0,N/A,false,false,N/A,N/A,62,51,58,270,"Nec, Ref",1
o7w5po,The Keeper,The Evil Within,earth,N/A,3,754,N/A,N/A,0,N/A,false,false,N/A,N/A,50,40,59,258,"Hol, Nec",1
o4yuyh,Daredevil,Marvel Cinematic Universe,light,N/A,29,902,N/A,N/A,0,N/A,false,false,N/A,N/A,47,42,55,235,"Rol, Mys",1
oem4g0,Azami,MEKAKUCITY ACTORS,void,burn,4,934,N/A,N/A,0,N/A,false,false,N/A,N/A,45,43,46,232,"Ser, Tim",1
oem31g,Ginshu,Children of the Whales,wind,burn,0,1877,N/A,N/A,0,N/A,false,false,N/A,N/A,59,46,54,238,"Ser, Spi",1
oelyw6,Shinobu Nakajima,Poco's Udon World,fire,burn,0,1275,N/A,N/A,0,N/A,false,false,N/A,N/A,44,58,41,277,"Hel, Hol",1
